title,year,duration,genres,rating,votes,director,stars
Cidade de Deus,2003-01-31,PT2H10M,"Crimen, Drama",8.6,868430,"Kátia Lund, Fernando Meirelles","Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele"
La vita è bella,1999-02-26,PT1H56M,"Comedia, Drama, Romance",8.6,810277,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini"
Terminator 2: Judgment Day,1991-12-05,PT2H17M,"Acción, Aventura, Ciencia ficción",8.6,1280232,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong"
Star Wars,1977-11-07,PT2H1M,"Acción, Aventura, Fantasía",8.6,1565171,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher"
Back to the Future,1985-12-02,PT1H56M,"Aventura, Comedia, Ciencia ficción",8.5,1447334,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson"
Sen to Chihiro no kamikakushi,2002-10-25,PT2H4M,"Animación, Aventura, Familiar",8.6,962628,Hayao Miyazaki,"Miyu Irino, Rumi Hiiragi, Mari Natsuki"
The Pianist,2002-12-13,PT2H30M,"Biografía, Drama, Música",8.5,1008995,Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay"
Gladiator,2000-05-17,PT2H35M,"Acción, Aventura, Drama",8.5,1842317,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen"
Gisaengchung,2019-10-25,PT2H12M,"Drama, Suspense",8.5,1156371,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong"
Hotaru no haka,1990-09-14,PT1H28M,"Animación, Drama, Bélico",8.5,382642,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi"
Psycho,1960-09-08,PT1H49M,"Drama, Terror, Misterio",8.5,783303,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles"
The Lion King,1994-11-08,PT1H28M,"Animación, Aventura, Drama",8.5,1254406,"Roger Allers, Rob Minkoff","Matthew Broderick, Jeremy Irons, James Earl Jones"
Seppuku,1962-09-16,PT2H13M,"Drama, Misterio",8.6,90454,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita"
The Departed,2006-10-27,PT2H31M,"Crimen, Drama, Suspense",8.5,1549111,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson"
Whiplash,2015-01-16,PT1H46M,"Drama, Música",8.5,1148300,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist"
Kill Bill: The Whole Bloody Affair,2026-04-10,PT4H13M,"Acción, Crimen, Suspense",8.8,33620,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox"
The Prestige,2007-01-12,PT2H10M,"Drama, Misterio, Ciencia ficción",8.5,1581540,Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson"
American History X,1999-03-19,PT1H59M,"Crimen, Drama",8.5,1270184,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D&apos;Angelo"
Léon,1995-04-06,PT1H50M,"Acción, Crimen, Drama",8.5,1347392,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman"
Spider-Man: Across the Spider-Verse,2023-06-02,PT2H20M,"Animación, Acción, Aventura",8.5,518129,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry"
Nuovo Cinema Paradiso,1989-12-18,PT2H54M,"Drama, Romance",8.5,316585,Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale, Antonella Attili"
Casablanca,1943-01-23,PT1H42M,"Drama, Romance, Bélico",8.5,654179,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid"
Intouchables,2012-03-09,PT1H52M,"Comedia, Drama",8.5,1023499,"Olivier Nakache, Éric Toledano","François Cluzet, Omar Sy, Anne Le Ny"
The Usual Suspects,1995-09-08,PT1H46M,"Crimen, Drama, Misterio",8.5,1235436,Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri"
Alien,1979-09-25,PT1H57M,"Terror, Ciencia ficción",8.5,1060607,Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt"
